,posterior_phi,posterior_sigma,posterior_g1,posterior_g2,posterior_g3
103,-0.81682074,0.5390471,2.1728263,0.08353002,-0.029196538
104,-0.15593088,0.77785563,1.8756075,0.083733104,-0.04382497
105,0.43497783,0.7951513,1.9272205,0.052907687,-0.040098432
106,-0.098602094,0.9439665,1.9590983,0.104574144,-0.024989147
107,0.0386862,0.87780577,2.2977583,0.053790677,-0.026107104
108,0.40958944,0.97247887,2.065915,0.082331635,-0.0107626
109,0.59237546,0.8297531,1.9331948,0.070423,-0.03803129
110,0.61005753,0.8121577,2.2108748,0.07258858,-0.034225494
111,0.5509546,0.92643464,1.9962051,0.08242421,-0.033909183
112,-0.27042222,0.86593574,1.8918883,0.083302826,-0.05101129
113,0.10519524,0.86214,2.107777,0.07324853,-0.0040536625
114,-0.2619823,0.79751515,2.15095,0.041387606,-0.034790784
115,-0.2152788,0.8648697,2.0898423,0.06832247,-0.03775511
116,0.17624655,0.8731446,1.8710452,0.050923754,-0.018405158
117,-0.99,0.44758922,2.385123,0.06983521,-0.03712401
118,0.09368393,1.0151069,1.9812177,0.080924936,0.0062574698
119,0.53955823,0.96229494,2.208814,0.056468736,-0.0045435056
120,0.087354496,0.836143,2.0499673,0.067235895,-0.03563282
121,0.08530105,0.9061337,2.4162633,0.0630339,-0.009927416
122,-0.4609171,0.82255876,2.1902194,0.07138516,-0.016782619
123,0.65976936,0.7407107,2.070655,0.07627542,-0.017363708
124,-0.2246762,0.8369589,1.8557879,0.044430614,-0.039375078
125,-0.36424956,0.759548,2.0552144,0.07187847,-0.017359616
126,0.30944866,0.8504753,2.1222787,0.06814533,-0.04942276
127,0.25398073,0.907694,2.2063305,0.06662373,-0.022847284
128,0.09496437,0.9239896,1.9369577,0.052729692,-0.03375341
129,-0.24669975,0.83724225,2.0067513,0.094765864,-0.020496577
130,-0.277474,0.8187258,2.1175225,0.090959854,-0.027261972
131,-0.07699451,1.0334253,2.3596127,0.070456214,-0.025245696
132,0.26241836,0.8603778,2.3531945,0.07064203,-0.035429526
133,0.40963823,0.8405918,2.004047,0.051432215,-0.036387585
134,0.49917212,0.99130255,1.9693981,0.07308873,-0.0080769425
135,0.19599263,0.87970394,2.1350665,0.06591114,-0.0134283295
136,-0.59404707,0.79986733,1.8967191,0.076857455,-0.031051697
137,0.13673842,0.9906865,1.9739593,0.07489192,-0.016519919
138,-0.99,0.45215976,2.0306897,0.08918495,-0.0007422255
139,-0.15471064,0.78098464,1.7658128,0.051964566,-0.041463755
140,0.008887635,1.0274831,2.1430004,0.05433228,-0.023362158
141,0.3807154,0.9344217,2.146152,0.08262035,-0.030781738
142,0.23190562,1.0625072,2.6677194,0.075486325,-0.0151278535
143,0.05716984,0.9558649,2.1311512,0.07044768,-0.027742421
144,-0.012118812,0.94855815,2.030924,0.054582022,-0.029004645
145,0.06572409,0.8806329,1.9849923,0.08352259,-0.024253782
146,-0.40878293,0.7286919,2.0809844,0.03343487,-0.06781915
147,-0.7063345,0.6902164,2.1940298,0.054464158,-0.040471103
148,-0.2886863,0.8763271,2.2496705,0.073656164,-0.02441007
149,0.53981036,0.9315697,2.4994273,0.04703217,-0.032436263
150,-0.4566658,0.85213023,2.2664154,0.081217565,-0.021084392
151,0.16731885,0.901278,1.9263828,0.085591264,-0.035537187
152,0.45784438,0.8491776,2.221848,0.045064744,-0.027376961
153,-0.07102799,0.9063117,2.2123985,0.06580272,-0.043478616
154,0.010717405,0.9753785,2.2014153,0.06926928,-0.010616798
155,-0.9266843,0.46966457,2.0110288,0.07900139,-0.04984783
156,-0.3755528,0.8559436,2.2599208,0.07342944,-0.055560034
157,-0.08652118,0.86853886,2.3729868,0.04971497,-0.01453856
158,-0.99,0.44065914,2.2720134,0.048574742,-0.012121199
159,-0.79271394,0.6364426,2.1677804,0.08236904,-0.04640648
160,-0.42674854,0.7997192,2.2607214,0.04839783,-0.029511988
161,0.40301922,0.85072577,2.1670477,0.088760816,-0.013876872
