,posterior_phi,posterior_sigma,posterior_g1,posterior_g2,posterior_g3,posterior_g4,posterior_g5,posterior_g6
122,-0.49867612,0.65107316,2.0743904,0.1008083,-1.1540666,0.45132968,-0.09979673,1.0503535
123,-0.6024017,0.48246524,2.0695052,-0.052776225,-0.7396211,0.41011548,-0.06269217,0.61310804
124,-0.12596188,0.6091495,2.0789073,-0.0015211129,1.7822058,0.47872233,-0.0028959487,-2.0482726
125,0.13840827,0.5357403,1.9223232,0.11445652,0.73530746,0.3345354,0.045691375,-0.9277226
126,0.123967566,0.6440312,1.8570489,0.30353504,-0.61145955,0.60684186,0.29135486,0.45490697
127,0.79270834,0.4060573,1.4175373,0.5964521,0.683505,0.51023763,0.83250934,-0.7592659
128,0.43302184,0.49185443,2.608802,-0.06560822,-2.4161785,0.4183636,-0.20341684,2.1733105
129,0.026289916,0.61071265,1.7531979,0.45265436,-1.159917,0.16934058,0.47847575,0.8611801
130,-0.3385174,0.41194463,0.1742157,2.1372788,-2.2732596,0.5123774,2.194325,1.9131379
131,0.33806267,0.5740692,-1.156044,3.544723,0.10722281,0.5506403,3.4763243,-0.38240466
132,0.047377087,0.575066,3.2600899,-1.158282,-0.4441408,0.35168704,-1.213091,0.3018985
133,-0.36299887,0.5406777,1.438405,0.6611378,-0.5048792,0.36187312,0.6664614,0.30149975
134,-0.4606208,0.4847737,3.152006,-0.9897364,-0.834195,0.41161302,-1.0995152,0.68507224
135,-0.5566056,0.49803105,-0.36241284,2.7772267,0.43451598,0.69668555,2.8125455,-0.74049556
136,-0.7555259,0.36412108,1.5776333,0.74095654,-2.1555061,0.42422318,0.6462212,1.9596288
137,0.6596058,0.4465816,2.8173409,-0.9129266,4.6660614,0.76555276,-0.779854,-5.0434694
138,0.121707775,0.56535083,-0.046775132,2.4023175,-0.7599031,0.43081143,2.2677991,0.63917124
139,-0.5272857,0.5347375,1.3800458,0.62517357,0.9498563,0.47412694,0.4502963,-1.0421584
140,-0.44224942,0.48635513,3.054586,-0.7437066,0.2530371,0.47903767,-0.8867217,-0.45941615
141,0.07224327,0.65827394,1.997989,0.1893908,0.064111665,0.43657362,0.16211332,-0.15409788
142,0.4731723,0.4840189,1.3994517,0.5915694,0.053546593,0.49127966,0.6091702,-0.217167
143,-0.31543592,0.6227279,3.6336222,-1.8971608,0.60746264,0.52964085,-1.7421598,-0.7090689
144,-0.17345546,0.47628504,4.1242013,-1.9560723,-2.1125135,0.4888615,-1.9204724,1.955452
145,0.07788672,0.5999476,1.3003992,0.8971047,1.8672663,0.30334702,0.8328155,-2.0469787
146,-0.33642775,0.510042,1.0129768,1.0738935,0.7392345,0.35940683,1.0019407,-0.9514755
147,0.6036464,0.4218836,1.2773085,1.1327065,-1.3544731,0.4533545,1.2229179,0.9073213
148,0.07042623,0.58620733,1.5582298,0.91756344,0.701271,0.36348233,0.7375312,-0.94420445
149,0.6518043,0.48709133,0.9136493,1.2517154,-2.1036463,0.43167046,1.3232938,1.8132759
150,0.81088567,0.32513934,2.3470771,-0.33563662,1.1706287,0.28155947,-0.29979506,-1.5774288
151,0.12674144,0.5523224,1.8453536,0.17184429,1.5319502,0.4150962,0.103716955,-1.7868419
152,-0.19723637,0.60094607,0.9468044,1.2026175,-0.58256495,0.39740217,1.1766849,0.42029932
153,-0.63550436,0.43684503,1.6710159,0.31085595,1.2949975,0.5719208,0.36432695,-1.2019932
154,0.017967518,0.7059163,1.4920224,0.60615,-1.5255953,0.3638443,0.65232366,1.275878
155,0.45574147,0.45412925,2.3053508,-0.02177086,-0.07838066,0.41707706,-0.114603624,-0.20468739
156,0.04244684,0.5384262,1.9594282,0.4798899,-0.5219818,0.36573964,0.29445222,0.25551257
