,posterior_phi,posterior_sigma,posterior_g1
452,-0.080413915,0.73456466,2.2369192
453,-0.28394783,0.66916513,2.1626408
454,-0.058599997,0.75650287,2.1710956
455,0.2013029,0.67389435,2.066101
456,-0.6642295,0.5286421,2.1459935
457,0.41304186,0.6294977,2.22282
458,0.2070811,0.7100413,2.1828306
459,-0.18000136,0.6733973,2.1388245
460,-0.22637457,0.63884515,2.298203
461,-0.62809056,0.53006846,2.278589
462,0.011211684,0.7113851,2.2335453
463,0.14844847,0.68658924,2.2164204
464,-0.11297417,0.7312055,2.2793908
465,-0.6477079,0.5417426,2.2461903
466,0.61095613,0.565454,2.2678356
467,-0.27174678,0.7003068,2.1521895
468,-0.44895887,0.62399364,2.1738577
469,0.08471998,0.7229754,2.1475675
470,0.32047278,0.66176516,2.1133897
471,0.18795308,0.7605038,2.1228337
472,-0.016185287,0.6943812,2.2924905
473,0.7578808,0.47414002,2.1500466
474,0.41739032,0.6451371,2.2269516
475,0.6753657,0.52392405,2.1222873
476,-0.19437088,0.6742805,2.1849387
477,-0.5512542,0.5690388,2.1783588
478,-0.16818498,0.68455046,2.1786582
479,-0.18229009,0.6833054,2.2235534
480,-0.33837226,0.65430886,2.1656356
481,0.20370889,0.67424583,2.2192173
482,-0.17250662,0.6230113,2.2574575
483,0.018181523,0.7520183,2.1978712
484,0.72672987,0.49294448,2.143426
485,-0.61382586,0.5550545,2.2371016
486,-0.10775571,0.7414275,2.2149441
487,0.42054603,0.65432453,2.186036
488,-0.22265607,0.70719343,2.182637
489,0.27036187,0.6897812,2.1248622
490,-0.7661819,0.46040735,2.1354516
491,0.11657937,0.6821988,2.1817567
492,0.35997364,0.65790427,2.3661778
493,-0.71947706,0.48758382,2.2274811
494,-0.22149298,0.6640566,2.1961296
495,-0.5427116,0.5776546,2.1718469
496,0.15095526,0.71873564,2.1845908
497,-0.08884479,0.7166059,2.1662283
498,0.188587,0.68653953,2.247078
499,0.62132925,0.55542994,2.177635
500,-0.23872429,0.68772495,2.175116
501,-0.27811894,0.69916075,2.220414
502,0.0122058885,0.7490547,2.1968055
503,0.36607367,0.6530661,2.1736228
504,0.7176642,0.50167733,2.1703668
505,-0.24246037,0.6769844,2.198823
506,-0.28607348,0.6910927,2.158315
507,0.066296056,0.72672355,2.2022574
508,-0.12970701,0.69066644,2.1560202
509,-0.42906132,0.6322367,2.0357075
510,-0.15864973,0.7022291,2.2926342
511,-0.36481413,0.63616294,2.1368916
512,0.24726291,0.6808031,2.137755
513,-0.79441327,0.42754427,2.2052672
514,0.16747223,0.71307915,2.1619272
515,0.6181587,0.5466425,2.11482
516,-0.34191322,0.65041625,2.1887848
517,0.49424255,0.61442125,2.2131858
518,0.11106465,0.7419351,2.235377
519,0.20957169,0.68397444,2.200739
520,0.02467726,0.7078075,2.228334
521,-0.2485215,0.6459789,2.1021085
522,0.17033552,0.70211303,2.212119
523,-0.22817038,0.67338216,2.1508691
524,0.7861077,0.45522693,2.0669327
525,0.3772689,0.6554744,2.1793447
526,0.1934489,0.67196214,2.2140903
527,0.42347565,0.6157421,2.2300167
528,0.47086963,0.6117648,2.209164
529,0.24781974,0.687815,2.2085416
530,-0.24965061,0.67973655,2.2191467
531,0.24606779,0.66564137,2.1984189
532,0.57293344,0.5481363,2.2006447
533,0.6945039,0.52515167,2.1954255
534,0.020345554,0.74946624,2.2838645
535,0.25370342,0.6776335,2.191506
536,-0.78030044,0.4414717,2.2220762
537,-0.19962128,0.69579715,2.1297364
538,0.14692168,0.7314142,2.1233199
539,-0.2160241,0.69610536,2.3274486
540,0.13707744,0.60443586,2.3724337
541,-0.17270896,0.6715253,2.1559565
542,0.04891828,0.71148545,2.1855433
543,-0.3382243,0.64631045,2.1791518
544,-0.14792751,0.7338096,2.1883018
545,0.33587894,0.63144827,2.1595907
546,-0.8168851,0.4204602,2.164047
547,0.0026116916,0.68556947,2.1837497
548,-0.043079082,0.7225622,2.0974357
549,0.42683327,0.6244076,2.1820304
550,-0.5135819,0.6017655,2.2421062
551,-0.2696845,0.668786,2.1471
552,0.31072593,0.68811435,2.175634
553,0.4208111,0.6254836,2.1106713
554,-0.6613561,0.5300078,2.203275
555,-0.4084523,0.6094546,2.1287258
556,0.40456042,0.6441669,2.2205915
557,0.5252802,0.5930096,2.241727
558,-0.6031774,0.57174563,2.1675558
559,0.0011630824,0.73821855,2.1713946
560,-0.5821362,0.59024656,2.213686
561,0.053918514,0.6843995,2.2053263
562,-0.16241997,0.7575591,2.230936
563,0.3015077,0.66996455,2.3232398
564,0.066412374,0.7191032,2.280391
565,-0.37261367,0.63574106,2.2098055
566,-0.08361383,0.68965936,2.1867206
567,-0.0122051705,0.7327282,2.1986206
568,-0.68673646,0.5228737,2.2532523
569,-0.08257404,0.7060633,2.2196698
570,-0.85,0.38754544,2.2269487
571,-0.1715682,0.69940174,2.2237408
572,0.23399515,0.70667404,2.2698812
573,-0.18089104,0.7120869,2.2125883
574,-0.29481778,0.67595536,2.2588787
575,-0.5151223,0.60031486,2.2037704
576,-0.36128807,0.6430802,2.1855185
577,-0.07516248,0.7297595,2.4102635
578,-0.16250026,0.72682923,2.2003043
579,-0.31981242,0.6651928,2.224718
580,0.07894774,0.728815,2.2054577
581,0.65809804,0.52005565,2.1933744
582,-0.70742494,0.47826186,2.211066
583,0.4911246,0.6078937,2.247951
584,-0.17237777,0.6696045,2.204817
585,0.010842398,0.6921925,2.1336627
586,0.46600473,0.625336,2.1916604
587,-0.046720263,0.69622433,2.1042316
588,-0.37663683,0.6437982,2.180335
589,0.19861965,0.67029697,2.1802928
590,0.032666747,0.72432286,2.2382894
591,0.49396715,0.6123735,2.2133808
592,-0.28525138,0.6867173,2.1576998
593,0.17052992,0.67664874,2.162649
594,-0.29014,0.6755934,2.221257
595,-0.27406347,0.6724885,2.135802
596,0.070178315,0.63963926,2.2304194
597,-0.2232266,0.7037052,2.1928663
598,-0.43524534,0.61969453,2.278629
599,0.027465545,0.70048386,2.172869
600,0.79987204,0.42172194,2.1708872
601,0.4378406,0.6219745,2.2478893
602,-0.76896876,0.432509,2.197832
603,0.62376183,0.5385196,2.1642
604,0.70051306,0.50321513,2.238584
605,-0.5677097,0.59377545,2.2116294
606,-0.06844516,0.7515372,2.1255789
607,-0.23711368,0.71038663,2.213577
608,0.09218215,0.7586153,2.2167919
609,-0.12650774,0.6780887,2.1895542
610,-0.3965142,0.6433855,2.2548907
611,-0.5700924,0.59334975,2.211387
612,-0.7728122,0.44168228,2.2094126
613,0.22249214,0.6780162,2.2351165
614,-0.7686324,0.4755831,2.1360939
615,0.1610451,0.731905,2.2935839
616,-0.29196325,0.6452002,2.186281
617,-0.09160593,0.7285493,2.276903
618,-0.011316046,0.68077004,2.1359518
619,0.69635665,0.5117203,2.2165282
620,0.13036378,0.73256636,2.3004775
621,-0.20757025,0.6506511,2.159766
622,0.23732553,0.67522484,2.186746
623,-0.67211044,0.5164355,2.1608517
624,0.38381416,0.6665719,2.218513
625,0.35478255,0.6577584,2.1778097
626,0.15756732,0.7136179,2.1455042
627,-0.5733312,0.5675331,2.1811743
628,-0.07110945,0.7600372,2.2271366
629,0.76467115,0.47014683,2.1767175
630,-0.2807693,0.64933956,2.198397
631,-0.24051856,0.6954519,2.1696084
632,-0.2792609,0.674174,2.1515777
633,-0.007321973,0.71655816,2.2451386
634,0.5509658,0.5806509,2.1515055
635,-0.27644947,0.6503353,2.2521815
636,0.1455291,0.69583076,2.1796238
637,-0.13751456,0.6846701,2.2051775
638,0.085275814,0.6975175,2.1645014
639,0.18554218,0.6989223,2.2374418
640,-0.33058366,0.64088213,2.1202283
641,-0.25222903,0.6833414,2.2521012
642,0.343049,0.65943,2.2398999
643,-0.54133224,0.5867163,2.1585543
644,-0.69033426,0.4877084,2.139372
645,-0.16004686,0.7379315,2.1651669
646,0.06112891,0.678771,2.2181559
647,0.0071345484,0.6801682,2.148036
648,0.32312536,0.6631249,2.1809793
649,0.2705128,0.66038907,2.264183
650,0.19829397,0.67441845,2.2368994
651,6.8677687e-06,0.7721078,2.168231
652,0.6738443,0.5249477,2.1770575
653,-0.7968011,0.454648,2.157539
654,0.5982351,0.5752249,2.2500057
655,-0.014603603,0.7184236,2.1688128
656,0.6326555,0.5475733,2.1878107
657,-0.16633986,0.7098203,2.213064
658,0.68440765,0.49638975,2.1577754
659,0.7565205,0.5021059,2.2356584
660,-0.07691647,0.7242895,2.2664742
661,-0.6281697,0.56273484,2.2412424
662,-0.0736497,0.74780166,2.282802
663,-0.340702,0.64554775,2.2331314
664,-0.3187781,0.6537945,2.2219436
665,0.10670844,0.67786896,2.1650364
666,0.13624915,0.688794,2.1590264
667,-0.40844867,0.6279716,2.1827838
668,-0.050665792,0.6739924,2.206434
669,-0.59847814,0.5537957,2.1830132
670,0.16164124,0.7191888,2.2175426
671,0.27408642,0.6912959,2.1456225
672,0.20723869,0.67063725,2.135266
673,-0.60794467,0.54437613,2.2252424
674,0.3701975,0.6198306,2.198532
675,0.21446435,0.7448244,2.1951187
676,-0.08766017,0.7356086,2.283978
677,-0.7950018,0.42441717,2.0907419
678,0.11423911,0.7232857,2.1678
679,-0.20827371,0.6768388,2.2178674
680,0.500768,0.6049788,2.1860871
681,0.32092103,0.64265954,2.2075114
682,0.2747515,0.64765847,2.2325516
683,-0.7373236,0.45713958,2.1824172
684,0.11810745,0.7408807,2.224754
685,0.34166232,0.6907781,2.2288065
686,0.16252898,0.72189546,2.2124274
687,-0.6139897,0.54011774,2.151709
