,posterior_phi,posterior_sigma,posterior_g1,posterior_g2,posterior_g3
294,-0.4826579,0.6482776,2.4316678,0.15282007,-0.09883936
295,-0.18478164,0.732308,2.249632,0.13786592,-0.17769575
296,-0.35406202,0.6318791,2.1948977,0.09220775,-0.0980018
297,0.4296576,0.83974916,2.5020785,0.09630609,-0.14189065
298,-0.10696367,0.8105881,2.355929,0.14070031,-0.24431705
299,-0.53126943,0.67297006,2.2185485,0.14126378,-0.12664904
300,0.20585431,0.79390764,2.3651168,0.104674794,-0.1324777
301,-0.6228862,0.6699393,2.2268076,0.13670018,-0.19508143
302,-0.54922867,0.7886017,2.1549911,0.06826634,-0.15497372
303,-0.27288815,0.72727406,2.3426855,0.073573805,-0.1556677
304,-0.27488658,0.65600395,2.2287645,0.114015676,-0.23377596
305,0.27192843,0.7987673,2.1450648,0.17811723,-0.11247231
306,-0.729667,0.6230875,2.2027426,0.13133743,-0.12966055
307,0.85,0.3198047,2.6791215,0.11652823,-0.23694283
308,0.59022546,0.8275245,2.3132727,0.08823724,-0.20903504
309,0.26863343,0.83975744,2.2200427,0.13335776,-0.15152292
310,-0.74330705,0.5476019,2.3123178,0.16377929,-0.17891455
311,0.723154,0.6339951,2.3213391,0.113762856,-0.15056334
312,0.39096075,0.8365847,2.2607932,0.17551954,-0.15215118
313,-0.45681873,0.6251616,2.1997592,0.0823212,-0.12186109
314,-0.74890393,0.5128211,2.144548,0.10665438,-0.10277776
315,0.19741939,0.8682488,2.2828245,0.10207495,-0.14566436
316,0.44118524,0.8694385,2.3064027,0.1474005,-0.11719604
317,-0.48191872,0.7115902,2.1331017,0.15929034,-0.1327815
318,0.7640738,0.8267934,2.345263,0.13032252,-0.13585642
319,-0.22057365,0.7248928,2.2924373,0.10813891,-0.08287965
320,0.4777687,0.7409886,2.2477086,0.096575655,-0.17852208
321,0.15197429,0.8308711,2.1791449,0.15956612,-0.123718575
322,0.5649247,0.73275596,2.203252,0.07379392,-0.12066831
323,0.4743358,0.7441385,2.420888,0.12623353,-0.20084791
324,-0.7148998,0.511757,2.1996238,0.16202497,-0.1418454
325,-0.2703971,0.6718653,2.4420452,0.15186492,-0.18543202
326,-0.35992032,0.73691934,2.159354,0.065106444,-0.13173464
327,0.39060125,0.7086708,2.2722123,0.14315872,-0.117859095
328,0.20553678,0.902474,2.1641695,0.15284352,-0.1682805
329,-0.1552638,0.7064053,2.0634835,0.12006352,-0.22506061
330,0.41189024,0.86240447,2.1857119,0.14205682,-0.12555413
331,-0.08804762,0.77887946,2.1935418,0.15833242,-0.16665754
332,0.43009564,0.77910924,2.350141,0.15686768,-0.106288165
333,-0.4504333,0.7115138,2.3087602,0.13513619,-0.1556846
334,-0.1937746,0.8161593,2.1978724,0.0566237,-0.09713037
335,0.062373083,0.84931624,2.2093644,0.12692103,-0.15952256
336,-0.45557922,0.5416464,2.4234428,0.09372808,-0.12949924
337,-0.16984195,0.7613188,2.1240253,0.117778376,-0.17514141
338,0.08005972,0.80240273,2.0910017,0.17626259,-0.12587911
339,-0.4394711,0.7209128,2.2150073,0.0706977,-0.09728546
340,-0.45346192,0.5139582,2.3344572,0.1379038,-0.19916311
341,-0.597122,0.5778296,2.241426,0.100253075,-0.14263733
342,-0.5991709,0.7119072,2.3338554,0.14266565,-0.16770084
343,0.795373,0.5499042,2.4852695,0.13791633,-0.11761306
