,posterior_phi,posterior_sigma,posterior_g1,posterior_g2,posterior_g3,posterior_g4,posterior_g5,posterior_g6,posterior_g7
187,-0.07666297,0.5579174,1.3670851,0.9352555,-1.22343,0.26453024,0.9824068,0.72331,0.15596007
188,-0.37927532,0.53961504,1.2010325,0.9091149,0.53975636,0.5864202,1.057615,-0.7099916,-0.14129202
189,0.24442236,0.67851096,1.4904093,0.70389944,0.8047686,0.25984424,0.91176873,-1.0715505,0.061002843
190,-0.8071771,0.29028845,0.40292013,1.6694657,2.4000125,0.48503357,1.8666945,-2.6016033,-0.12254416
191,0.44182414,0.51156604,2.3391304,-0.055106156,-1.8378416,0.46805558,-0.11452531,1.5700363,-0.009001741
192,0.7097888,0.41894114,-1.3244518,3.4786108,-0.30476505,0.41421285,3.7145898,0.15353683,0.050356578
193,-0.35472244,0.5276991,1.8642234,0.4653976,-1.4015988,0.42765042,0.47827742,0.92441005,-0.005989098
194,0.029519934,0.6787668,2.2845724,-0.102268875,0.54246557,0.48280883,-0.023428777,-0.73514265,-0.1623782
195,0.66620314,0.41267824,-1.0057676,3.1429868,0.36899355,0.34029895,3.3171484,-0.778162,0.083248734
196,0.6200451,0.46172133,0.8025141,1.3711241,-1.7014775,0.5916047,1.44946,1.2816368,-0.2033209
197,-0.18477915,0.54682875,1.1449302,1.162863,-0.8762136,0.51026005,1.0106171,0.6357428,-0.26716945
198,0.7621985,0.36878785,1.1512804,1.1585468,0.5872146,0.2598154,1.1556616,-0.7597729,0.305562
199,-0.44982946,0.5102233,2.5248404,-0.33563864,-0.8932627,0.18443808,-0.2739235,0.5542154,0.38137752
200,-0.111034766,0.62077475,0.48607183,1.6182233,2.0106566,0.1854001,1.770993,-2.2273057,0.20315342
201,-0.7123564,0.38948098,0.7157925,1.566077,-1.2183257,0.5715315,1.5761888,0.92271805,-0.07116927
202,0.027244367,0.54605246,1.0249918,1.1068897,1.7961625,0.59505403,1.1370397,-2.0137994,-0.15339927
203,-0.51151615,0.4481202,-0.43168128,2.5447404,0.6750801,0.2564097,2.772784,-0.8741722,0.12317283
204,-0.5492593,0.48284236,1.6076919,0.5274006,-0.5209043,0.39578697,0.48275107,0.45642868,-0.16061972
205,0.7635727,0.350004,1.9682401,0.14731559,0.7851614,0.30925784,0.16202208,-1.0806644,0.0032482422
206,-0.04346953,0.6208347,0.8707557,1.3331532,-0.6887335,0.53216827,1.4907974,0.48537925,-0.1182072
207,-0.06873599,0.54763484,0.31285268,1.9087257,-0.47937036,0.3238874,1.9630835,0.27816597,0.0807756
208,-0.5338059,0.46858191,2.7684894,-0.53231305,-0.3679238,0.4830353,-0.4417444,0.0029646647,-0.095509164
209,0.10747805,0.63656276,-0.80167156,2.839815,2.1595511,0.4097188,3.2976294,-2.4450998,0.013089968
210,0.30922723,0.5130316,-0.24550483,2.3554387,1.4883074,0.45138842,2.5957897,-1.7067621,0.08626391
211,-0.067564584,0.6065094,1.1495314,1.0985041,2.4697244,0.44057778,0.9807858,-2.5872765,-0.061243523
212,-0.21140106,0.55410886,0.90912485,1.3352504,-0.39582288,0.45086572,1.3869919,0.07961003,-0.19285966
213,0.6720319,0.42488155,-0.56790745,2.6814423,3.1848738,0.6634685,2.9195163,-3.3339493,-0.16708608
214,0.7554365,0.38980663,0.20941517,1.9871397,1.5523318,0.033876773,2.042243,-1.8067898,0.34189144
215,0.0842207,0.5721286,0.37289453,1.9366846,-1.3851801,0.36781183,2.0109851,1.0318505,0.068989426
216,0.02410557,0.5243618,1.8510985,0.33661237,0.39932218,0.50561166,0.3932673,-0.6479965,-0.14816009
217,0.6583001,0.43276662,1.4209143,0.8730476,0.72212887,0.35413578,0.83274287,-0.78001434,-0.052391157
218,0.0638213,0.58361375,0.58192724,1.5549425,0.10215841,0.52361417,1.649845,-0.32985562,-0.19411029
219,0.095878154,0.5797977,-0.40878946,2.5975325,-0.27164406,0.39415255,2.8558435,-0.045979664,-0.063399285
220,-0.031424657,0.6329217,0.0072579314,2.1534321,-0.8564865,0.3302801,2.4576201,0.48497528,0.0744401
221,-0.027555302,0.64024127,0.37665895,1.8776745,-0.8821917,0.79746556,2.0839543,0.48379016,-0.41858143
222,0.47466788,0.4802821,2.1691897,0.1383087,1.7633345,0.4308854,0.09666932,-2.1668854,-0.098854035
223,0.41019312,0.49672097,0.75003546,1.3984637,2.1439903,0.60155356,1.4824572,-2.3251493,-0.37725165
224,0.2409721,0.5516901,-0.687568,2.9029167,-1.5351875,0.4988849,3.0813615,1.2652608,-0.14626855
225,-0.08492246,0.6129892,2.232359,-0.08888685,1.9535294,0.27369758,0.051714126,-2.0711906,0.10789814
226,-0.6301742,0.4366039,0.3890073,1.8075811,0.072568126,0.42061839,2.0865297,-0.5676843,0.09483722
227,-0.3414467,0.5491423,0.040241476,2.083366,0.4598319,0.42707407,2.1492891,-0.6313511,-0.27577308
228,-0.5891399,0.44189042,3.0557616,-0.670851,-1.7168247,0.8000801,-0.8123793,1.3249677,-0.45272583
229,0.25726452,0.53521043,1.373803,0.7109193,0.7639512,0.21167849,0.778244,-0.96129346,0.16041921
230,-0.40525472,0.52459127,1.7375768,0.49226952,-1.5325441,0.34433812,0.5132002,1.2197232,0.1704708
231,0.75699955,0.38824964,1.927509,0.23632772,-0.54542434,0.50874084,0.2987814,0.27875143,-0.17478643
232,0.34223124,0.528385,1.351419,0.8736745,0.47201318,0.63318825,1.0061526,-0.85963637,-0.24897633
233,0.3566081,0.5155397,1.2072154,0.88828677,-1.1330203,0.7256425,1.0440834,0.9191897,-0.32768077
