,posterior_g1,posterior_g2,posterior_phi,posterior_sigma,posterior_beta3,posterior_rho
213,2.1964307,0.15028304,0.85,0.05,3.1179965,2.3357959
214,2.139902,0.08863425,0.85,0.05,4.922017,1.6693451
215,2.1755006,0.1253697,0.8389565944671631,0.05,3.8860407,1.8649994
216,2.1828349,0.15642281,0.8356396555900574,0.011670336127281189,3.8718026,2.2085376
217,2.1340802,0.08232524,0.8105593323707581,0.0433664470911026,4.4546857,1.7526807
218,2.2174938,0.12709783,0.2687448263168335,0.05744501203298569,3.129422,2.4783626
219,2.1457443,0.08943159,0.8229798674583435,0.019821032881736755,3.8834016,1.8682334
220,2.2017007,0.11718295,0.85,0.02086148038506508,3.5581794,2.8420324
221,2.194609,0.12426792,0.85,0.05,3.820072,2.4657905
222,2.2931457,0.0734764,0.392977774143219,0.03170686215162277,2.2488236,2.7531338
223,2.1803067,0.13461392,0.8263226747512817,0.020863935351371765,3.4543176,2.2367387
224,2.1622276,0.11949125,0.85,0.0351678840816021,4.342882,2.5280473
225,2.2137263,0.15750249,0.85,0.05,3.2506256,2.3069017
226,2.2073607,0.08691922,0.8208894729614258,0.051624055951833725,3.994311,2.2053747
227,2.1975515,0.13717909,0.8492193818092346,0.028331667184829712,3.7274637,2.2147593
228,2.1161337,0.12283913,0.85,0.05,4.650189,1.3547405
229,2.2044892,0.08598279,0.8144193291664124,0.05,4.0857315,2.103016
230,2.152431,0.039396055,0.85,0.05,5.0996003,1.2776656
231,2.224203,0.1007008,0.85,0.011233381927013397,3.464473,2.071452
232,2.1479557,0.13789965,0.85,0.05,4.101146,1.6461014
233,2.2252414,0.10008169,0.85,0.05,3.453252,2.5835018
234,2.2932322,0.087797806,0.22056642174720764,0.050435349345207214,2.093619,2.2512329
235,2.162333,0.11841188,0.8356644511222839,0.05,4.389275,2.3022883
236,2.1473293,0.1336199,0.8377687335014343,0.011517705395817757,3.9102993,2.0319045
237,2.1648757,0.12947096,0.85,0.05,4.075608,2.1060908
238,2.252277,0.11180702,0.7734468579292297,0.0700429379940033,3.008903,2.679202
239,2.1841636,0.09842695,0.85,0.05,3.9957943,1.9560523
240,2.2383237,0.16571127,0.8259320855140686,0.05,2.4799592,2.2622194
241,2.1389415,0.19214147,0.85,0.036327481269836426,4.163383,2.57939
242,2.1854665,0.16724017,0.85,0.05,3.764549,2.0585363
243,2.183227,0.12814543,0.8312966227531433,0.0051425849087536335,3.8110275,2.6154258
244,2.1607587,0.14923689,0.85,0.05,4.376605,1.6090746
245,2.180523,0.13770488,0.85,0.014721225947141647,4.14786,2.3861108
246,2.1810193,0.07131885,0.8461349010467529,0.01793098822236061,4.4199805,1.8493497
247,2.1762333,0.11130899,0.85,0.05,4.139439,2.132179
248,2.1899588,0.11341261,0.8191506266593933,0.05,4.2731695,1.9680023
249,2.161937,0.11598092,0.85,0.05,4.549568,1.9354255
250,2.178303,0.10406853,0.85,0.036168623715639114,4.624335,1.8332901
251,2.21586,0.025739903,0.81573885679245,0.049964286386966705,4.3232245,2.006121
252,2.0807252,0.17793432,0.8293637633323669,0.03461826220154762,5.529916,1.4973651
253,2.1115735,0.101168066,0.8354352116584778,0.0003340653784107417,5.0623565,1.4558219
254,2.2289243,0.12666751,0.7851033806800842,0.02405381202697754,2.5532558,2.8206375
255,2.121014,0.1783687,0.8337724804878235,0.05,4.702477,1.7976751
256,2.1325927,0.16702427,0.6488056182861328,0.003324860241264105,4.238048,1.8283728
257,2.1677957,0.08048907,0.85,0.05,4.735773,1.8352501
