,posterior_phi,posterior_sigma,posterior_g1,posterior_g2,posterior_g3,posterior_g4,posterior_g5,posterior_g6
157,0.3361723,0.89011794,2.2668948,-0.42649278,-2.0185106,0.28015527,-0.42205733,1.8490558
158,0.71404606,0.8210335,2.4133236,-0.36872664,0.27150378,0.2660108,-0.3571103,-0.41673967
159,0.5891247,0.80873376,1.4901812,0.7481363,-0.91104645,0.27907705,0.74215364,0.7642058
160,0.5607806,0.8121681,0.5234807,1.8040332,-2.1976793,0.24550207,1.7895874,1.9993279
161,0.49067095,0.8129256,1.6235965,0.3587303,2.3834765,0.26006588,0.3850419,-2.3227556
162,0.5423308,0.8198779,2.0006719,0.06988076,-0.7532095,0.30810592,0.096018575,0.598223
163,0.4872366,0.8164354,-0.22624052,2.3659618,2.066474,0.24197394,2.3608468,-2.309249
164,0.41807085,0.8243666,2.5250547,-0.5498437,-1.6728724,0.340717,-0.49295208,1.4791459
165,0.40953296,0.81990045,2.0780237,-0.07012246,0.6311027,0.27132195,-0.11084246,-0.72942454
166,0.7033873,0.8605522,2.4713295,-0.39714032,0.7024976,0.2364317,-0.401244,-0.72630906
167,0.6484645,0.9147889,-0.03487287,2.1803658,-0.6440496,0.24581312,2.1312196,0.487837
168,0.45992553,0.8546112,1.5118271,0.79706985,-2.011279,0.24417225,0.8111159,2.0575767
169,0.4200826,0.83798075,4.625978,-2.5085704,1.7501047,0.272224,-2.5116806,-2.023522
170,0.38332596,0.949824,0.73498285,1.2445856,0.6088334,0.24194206,1.2190857,-0.7791563
171,0.3135196,0.9128734,0.9536859,1.1816709,-0.8670697,0.29455397,1.1895369,0.6293978
172,0.38602293,0.8749217,3.5768294,-1.3597757,0.14282781,0.27736837,-1.3477672,-0.3080186
173,0.574247,0.88508576,0.86580837,1.3801677,-1.12686,0.2884309,1.3650733,0.93726045
174,0.72360516,0.8196383,2.5727365,-0.38969183,-3.7324736,0.29050267,-0.38654715,3.6670084
175,0.54460394,1.0020248,-1.2245572,3.4130979,-1.2753488,0.2693141,3.4438345,1.0191091
176,0.40226957,0.8716854,2.9676468,-0.77945,-0.28684863,0.29018497,-0.736396,0.13187775
177,0.4239877,0.96260977,3.350947,-1.1209905,-2.0987425,0.26585695,-1.1418706,2.023823
178,0.3544794,0.82865846,-0.05761436,2.3327794,0.32383665,0.32822824,2.345657,-0.52210355
179,0.55621314,0.8111157,2.9164443,-0.84936315,-0.42466155,0.24731004,-0.863906,0.3202119
180,0.43964514,0.74860764,1.1526436,1.3163153,0.9787077,0.33318508,1.3417763,-1.1543835
181,0.5176413,0.87647265,1.8705565,0.25895217,-2.098661,0.29487512,0.3106041,1.9645945
182,0.37314352,0.8109362,2.1634305,-0.008053468,2.195469,0.32289654,-0.023219451,-2.2704961
183,0.5576182,0.9017304,2.4365246,-0.28516033,2.6443794,0.266807,-0.32804808,-2.8176394
184,0.5766649,0.8530952,3.847449,-1.6856662,-1.3606656,0.2679937,-1.6646106,1.2359885
185,0.42565697,0.94123614,1.7312465,0.28164545,1.0542272,0.20987643,0.25374165,-1.1223289
186,0.58802366,0.8862164,1.8716997,0.15314247,-0.88498056,0.2847601,0.13272916,0.7066063
187,0.5875875,0.9042547,3.501468,-1.4435629,-2.0893307,0.29670352,-1.3864367,1.8988539
188,0.29706138,0.8346683,2.5547147,-0.47929028,1.1273044,0.25326255,-0.45606816,-1.2789388
189,0.34513044,0.75334674,0.7226541,1.192031,-1.4834595,0.22437365,1.1800067,1.4073848
190,0.6014976,0.81636786,2.552722,-0.36120558,1.5422561,0.27964124,-0.39172822,-1.5475968
191,0.62004703,0.9382757,0.6145834,1.9148371,1.0972978,0.26222456,1.9023578,-1.239849
192,0.51815385,0.98483497,2.3987722,0.07582972,1.1262103,0.30777985,0.06170249,-1.280583
193,0.50957155,0.99237496,2.1895185,-0.08270938,0.79569167,0.25794253,-0.11755889,-0.98832667
194,0.40879452,0.71939653,1.0938617,1.138416,-1.4399344,0.2784303,1.1505561,1.2111825
195,0.50536436,0.8058993,2.2808623,-0.28991526,-1.2107068,0.2987757,-0.31364945,1.12685
196,0.52876204,0.86299825,-1.2854986,3.4964554,-0.28928244,0.31368148,3.5209668,0.12594965
197,0.6102688,0.89433694,-1.6934767,3.6911128,-1.0045196,0.26307642,3.7017293,0.782181
198,0.40259993,0.7446849,3.5882304,-1.3688416,-0.7764591,0.27096203,-1.3636118,0.65851915
199,0.38461253,0.7538208,0.7728916,1.5023487,0.3742836,0.27449217,1.500296,-0.512526
200,0.59875494,0.8367572,1.9325932,0.096493766,-0.130481,0.28924152,0.103089765,-0.07204744
201,0.47318143,0.85984445,0.7222451,1.2553455,-1.4117306,0.29658404,1.2615951,1.2276055
202,0.49536106,0.85926175,1.8612095,0.35166988,1.2515165,0.22800493,0.34916097,-1.4978325
203,0.6007632,0.8185335,-0.02437828,2.2459702,-0.047131587,0.27637032,2.224106,-0.15110801
204,0.6058289,0.89155453,2.7114398,-0.843119,0.7980899,0.20448904,-0.8879148,-0.7919033
205,0.41894594,0.90331525,0.5642003,1.6335653,-0.22735645,0.28713906,1.6533734,0.06455194
206,0.42300016,0.800231,2.9196122,-0.6133003,1.8522946,0.33029774,-0.56584126,-2.1844735
207,0.5156401,0.91019666,-0.5982483,2.739708,-1.5867513,0.2280212,2.756343,1.6847237
208,0.57864505,0.8057559,1.9580927,-0.028165312,0.12538703,0.3091588,0.01065855,-0.29531285
209,0.2852674,0.7947789,2.2388942,-0.111248545,-1.4591721,0.22263342,-0.08125709,1.4257001
210,0.3494615,0.73829305,3.7429845,-1.3672936,0.41673478,0.32846144,-1.3416296,-0.656326
211,0.5255495,0.8652188,0.8432593,1.403766,0.7479885,0.2870809,1.3812051,-1.0167373
212,0.5317218,0.86383826,-0.48846534,2.5652077,0.9360292,0.2850285,2.545175,-1.06483
213,0.44224983,0.9242242,2.7637255,-0.6383162,-0.9983087,0.28141612,-0.60043466,0.8310845
214,0.5417579,0.8623241,1.4590509,0.6412368,-3.1551294,0.30299526,0.5926729,3.0192194
215,0.6336712,0.87325484,1.5563658,0.7232959,-0.5826068,0.2164375,0.7135047,0.4072627
216,0.5209584,0.82212734,-0.47138625,2.61214,-3.5247262,0.25062963,2.6119478,3.5573235
217,0.74282324,0.7485285,2.927476,-0.82927185,-0.7231536,0.30642024,-0.7704378,0.5620463
218,0.36848024,0.91087097,0.6117693,1.2513424,-1.0399634,0.2880989,1.228824,0.89605844
219,0.5057469,0.91809547,2.6847517,-0.5992559,-0.24793915,0.26636696,-0.58097833,0.006223811
220,0.32859048,0.78988993,1.4419464,0.62007064,-0.7460556,0.29568338,0.60598314,0.6302248
221,0.37709266,0.84907776,2.2582312,-0.08418414,1.975389,0.32760677,-0.1173628,-2.0957928
222,0.38501936,0.84209013,-1.3334712,3.3607368,-0.49281654,0.29582995,3.362162,0.2914128
223,0.53421193,0.8258269,1.6365235,0.45541623,-1.1684731,0.26270315,0.4566705,1.0009006
224,0.536009,0.75515956,2.9368308,-0.85628045,1.4861146,0.36967516,-0.81843966,-1.7524544
225,0.51468986,0.83482,0.6826525,1.329036,-0.1414311,0.27309734,1.338811,0.04644249
226,0.545415,0.8215423,1.6052076,0.5701906,-3.1193566,0.28625238,0.54980856,3.107316
227,0.53233534,0.83740276,3.2832074,-1.0394306,1.0994309,0.32812396,-1.0286791,-1.2758352
228,0.50679165,0.87974465,3.1867435,-1.0194807,-0.64545137,0.2980424,-0.97425675,0.5372775
229,0.36854455,0.7809936,1.8545465,0.25615332,-0.13966353,0.3063149,0.25116935,-0.02909547
230,0.66356605,0.86486036,1.467586,1.1373653,-0.7355401,0.25951806,1.1422802,0.6361239
231,0.3874566,0.81593484,-0.20558137,2.1715052,1.0096977,0.2940277,2.1423144,-1.2117447
232,0.34874174,0.82705307,2.8479977,-0.58566594,0.08224415,0.27707693,-0.56939083,-0.34410053
233,0.5147196,0.91157115,1.0572067,1.1455063,0.58513904,0.28038982,1.1454074,-0.7736021
234,0.516011,0.90588504,1.677433,0.5655616,2.2177582,0.31171304,0.5367511,-2.5568058
235,0.5465902,0.8492854,4.058226,-1.7076572,-1.6388509,0.27246907,-1.6902121,1.553587
236,0.43664563,0.86191034,1.217843,0.78347284,-1.0210766,0.2977613,0.8273985,0.83692354
237,0.47194293,0.837318,3.148368,-1.0965658,2.5446453,0.2761007,-1.1442457,-2.790734
238,0.5524451,0.7617969,1.8235317,0.563971,-1.8159575,0.24681012,0.53915656,1.6463344
239,0.6049518,0.8926214,1.5604191,0.59651047,-0.25083777,0.34683162,0.6262068,0.0052914973
240,0.45781645,0.81885207,0.615975,1.2750286,2.7391949,0.30049706,1.2849922,-2.9773622
241,0.56958175,0.8525934,1.7926589,0.42894244,2.155031,0.2597664,0.45104438,-2.348806
242,0.5123873,0.8863292,-1.3445612,3.469089,-1.7158414,0.253715,3.4433684,1.6143899
243,0.47524968,0.8708235,3.6416247,-1.3422104,1.9179347,0.29081926,-1.3158367,-2.2509856
244,0.53385246,0.82507163,2.2544942,-0.32124946,1.6529042,0.30941206,-0.38258877,-1.8975291
245,0.66672015,0.84427524,-0.49721208,2.415819,-0.18701214,0.3224166,2.419518,-0.0058489256
246,0.39725992,0.8537519,-0.39520112,2.2507038,-0.54854083,0.26466048,2.250939,0.396191
247,0.36666548,0.77575827,2.3815565,-0.24703862,-2.029655,0.26728344,-0.24005298,1.8503859
248,0.49367377,0.8147577,0.94611394,1.5065651,0.9807182,0.26622716,1.5003076,-1.0964614
249,0.4800985,0.92879677,2.1300218,0.14652483,-0.3448253,0.26517752,0.16078864,0.2143393
250,0.503816,0.7718724,2.1377525,0.12273514,1.5089415,0.304398,0.15857098,-1.7146883
251,0.45905814,0.86863834,3.1341445,-1.0417539,-0.07540795,0.32306135,-1.0556204,-0.12465086
252,0.46193147,0.8164433,2.4962986,-0.17237976,2.2451901,0.32440266,-0.14885083,-2.4427392
253,0.55184114,0.7487512,1.5161387,0.5607246,-0.9818633,0.30588296,0.5431092,0.74881333
254,0.45422775,0.8194393,2.7801456,-0.6018641,1.6614443,0.25314638,-0.622491,-1.6650697
255,0.39100054,0.90685344,0.9479539,1.4748904,1.5588067,0.37016898,1.5227232,-1.7622186
256,0.3945981,0.8880977,3.0555952,-0.9551772,1.4573646,0.28373414,-0.94975245,-1.6428972
257,0.43519104,0.80303204,-0.26813284,2.382669,1.0170385,0.29187676,2.365403,-1.1927192
258,0.48561049,0.7368214,-0.7567145,2.731992,-0.71941453,0.27066895,2.7235332,0.588826
259,0.4609709,0.9069824,2.616464,-0.6969037,-1.9587871,0.2574559,-0.71043265,1.8811427
260,0.6686311,0.7830498,2.8251417,-0.7163026,0.36293897,0.3038814,-0.6983757,-0.5455067
261,0.51286,0.8450422,2.1655474,-0.029014,-1.9255652,0.25836214,-0.053558365,1.6367464
262,0.42090467,0.8040133,1.05582,1.0370456,-0.77818775,0.22385935,1.0639491,0.66601557
263,0.32383993,0.81714904,1.5112593,0.4190305,-0.97086036,0.27642426,0.4377455,0.80617976
264,0.4085251,0.955203,-0.38032803,2.4104896,0.74620074,0.24877894,2.4049356,-0.9624082
265,0.4594917,0.8716022,1.380057,0.8092834,-2.511687,0.21216853,0.8196696,2.4416473
266,0.6666949,0.79735196,2.2481735,-0.10158198,2.0600471,0.26225594,-0.10686675,-2.2032154
267,0.4915986,0.7564775,2.3151224,-0.21543172,2.239364,0.27829468,-0.14033999,-2.4288015
268,0.5913319,0.80551165,2.6647651,-0.5083666,-0.19271241,0.30724233,-0.47635502,0.012175469
