,posterior_phi,posterior_sigma,posterior_g1,posterior_g2,posterior_g3,posterior_g4
215,-0.55288875,0.38980246,2.033334,0.023857936,-0.1637488,0.2924087
216,-0.554244,0.36946037,2.1402946,-0.086894825,-0.1862527,0.38597518
217,-0.52135277,0.40397614,2.0772464,0.062628865,-0.20110655,0.32962304
218,-0.6949991,0.30104837,2.0637426,-0.014362985,-0.19844934,0.40641636
219,-0.76066047,0.31192207,2.0874536,0.003730659,-0.15644917,0.328194
220,-0.69387686,0.30779958,2.1991863,-0.09462571,-0.22783303,0.33592245
221,-0.64063215,0.3646672,2.2515454,-0.0049688322,-0.24498068,0.4225434
222,-0.6729782,0.31644875,2.1372483,0.012125024,-0.22106668,0.4455084
223,-0.67730385,0.3362102,2.1761875,0.030735016,-0.20712778,0.41109762
224,-0.7247241,0.3063041,2.013132,0.02395726,-0.051962007,0.17966408
225,-0.8075131,0.29895297,2.223794,-0.05968189,-0.11980143,0.29060975
226,-0.8522548,0.27095616,2.274104,-0.016740968,-0.22296774,0.38679615
227,-0.8196945,0.2994859,2.2148635,-0.04746354,-0.25108016,0.41576117
228,-0.68681186,0.36294726,2.115309,0.008028398,-0.12451876,0.30793896
229,-0.74767995,0.31253853,2.1866586,-0.059075277,-0.12487719,0.3170864
230,-0.7615885,0.30077085,2.1541123,-0.051397093,-0.23748495,0.4292891
231,-0.5630035,0.39000714,2.132621,0.061360616,-0.23342028,0.33717185
232,-0.7866036,0.3052352,2.192582,0.06352428,-0.12885185,0.25522944
233,-0.7830014,0.30182943,2.059654,-0.0063266438,-0.18179978,0.3908576
234,-0.5887435,0.37279764,2.1667025,0.004773316,-0.12516396,0.27051356
235,-0.8450385,0.30777887,2.3102567,-0.07528575,-0.23929846,0.38724595
236,-0.75606036,0.32232043,2.270915,0.0062468606,-0.20065902,0.34505248
237,-0.82304054,0.2919465,2.1751096,0.031244379,-0.21279854,0.38691705
238,-0.7581604,0.30112493,2.1374319,-0.063503385,-0.053620905,0.2455638
239,-0.6944139,0.32643604,2.1413617,0.03482072,-0.13945127,0.3109011
240,-0.6773612,0.3635764,2.051746,0.00150505,-0.09197326,0.17577149
241,-0.71719694,0.31736213,2.3359318,-0.08704763,-0.22218804,0.39233238
242,-0.6636551,0.3427991,2.119011,-0.015392141,-0.15775912,0.3299368
243,-0.5938902,0.3764536,2.0759876,0.02775922,-0.10331857,0.22045799
244,-0.61887634,0.34566554,2.1429212,-0.0041138767,-0.19675365,0.38708165
245,-0.85367656,0.27620202,2.2425597,-0.07954422,-0.24314505,0.43033165
246,-0.7319151,0.30051124,2.172225,-0.031850893,-0.15673007,0.37094656
247,-0.74296695,0.33116725,2.117526,0.0037341805,-0.2619005,0.42380488
248,-0.81983525,0.25068942,2.1220603,-0.027548537,-0.06624062,0.30252656
249,-0.80927527,0.2930702,2.121717,0.014428419,-0.1900249,0.3893728
250,-0.8295532,0.28044337,2.1372411,-0.035442445,-0.105581865,0.2598141
251,-0.7811133,0.30627373,2.2094088,-0.032820757,-0.1116104,0.23937722
252,-0.73159474,0.3023403,2.0826666,0.01616217,-0.190159,0.30861774
253,-0.5449436,0.3613393,2.101611,0.011639223,-0.11883676,0.33353144
254,-0.7376734,0.34559634,2.2743146,0.06498164,-0.079643525,0.1762149
255,-0.7498039,0.29423186,2.140387,-0.012627353,-0.21026216,0.35870934
256,-0.6590288,0.34619242,1.9580045,0.059304565,-0.13213632,0.29624116
257,-0.6304949,0.37323755,2.0729842,0.027334096,-0.17018175,0.31822038
258,-0.7473888,0.31467143,2.3926153,-0.077282146,-0.102885135,0.2824276
259,-0.68560725,0.34047753,2.1554878,-0.038982153,-0.19013797,0.31918976
260,-0.72933227,0.29733604,2.1073287,0.016415015,-0.18698424,0.35462403
261,-0.7549625,0.304913,2.088597,0.034601677,-0.10956293,0.32841694
262,-0.81018966,0.31021684,2.0426772,0.015167734,-0.09997622,0.3026279
263,-0.65452534,0.32153597,2.0470202,0.0069906306,-0.2241542,0.38614175
