,posterior_phi,posterior_sigma,posterior_g1,posterior_g2
434,0.67327815,0.90368515,2.0258012,0.056436036
435,0.62094074,0.90937084,2.3081908,0.06108865
436,0.5127396,0.75041956,2.0180666,0.07916032
437,0.6066374,0.9377562,2.4097376,0.06811768
438,0.52405417,0.8948852,1.9967312,0.051190037
439,0.6668037,0.77016354,2.1143582,0.07242425
440,0.5524529,0.81359804,2.1759226,0.060933504
441,0.7439136,0.7915398,1.937988,0.049401045
442,0.6271271,0.8894893,2.4240155,0.06106596
443,0.60725766,0.81329393,2.0073292,0.06557645
444,0.6458603,0.90068585,2.2701309,0.05612607
445,0.69200796,0.815087,2.0766525,0.06331494
446,0.7232776,0.8869744,2.5127165,0.050953615
447,0.74504924,0.8560864,2.1654325,0.07083642
448,0.5991963,0.879943,1.9852884,0.07424151
449,0.56630033,0.8854634,1.7891163,0.06917764
450,0.6393513,0.8913871,2.1547313,0.07022155
451,0.7952653,0.8901557,2.2763286,0.061010286
452,0.7610578,0.8153314,2.0440233,0.08262018
453,0.65377104,0.8875359,2.3594224,0.060882308
454,0.66105694,0.8357763,2.011377,0.05961418
455,0.59166217,0.8649198,2.5078757,0.059686963
456,0.81739455,0.8184831,2.3633854,0.07502177
457,0.6940013,0.8052951,2.31726,0.06901056
458,0.6884512,0.8420747,2.1845744,0.048671383
459,0.79563427,0.7812954,2.43754,0.0783888
460,0.573023,0.8954594,2.2500038,0.06784935
461,0.60916734,0.844104,1.6824162,0.06800747
462,0.5863267,0.7600749,1.9561166,0.05521274
463,0.65395576,0.7879209,2.1067913,0.07544069
464,0.61185473,0.89821714,1.9372914,0.06748446
465,0.6015463,0.9059796,2.0613632,0.059888083
466,0.5472719,0.84439236,2.2046323,0.069776766
467,0.6101153,0.9521229,2.3511548,0.07004874
468,0.6048418,0.83600646,1.7685148,0.065240294
469,0.5782165,0.79949456,2.0239317,0.07314774
470,0.6741245,0.8645341,1.8925636,0.07141246
471,0.66659516,0.9260668,2.2496836,0.060633726
472,0.66902125,0.91092366,2.011235,0.05487162
473,0.7292114,0.793558,2.0783908,0.06442
474,0.684529,0.8415933,2.0153449,0.065377735
475,0.7214597,0.874399,2.0996242,0.05604662
476,0.63711804,0.8414924,1.7536477,0.059967052
477,0.6667056,0.89803684,2.4186337,0.0677851
478,0.7257516,0.9361767,2.1981056,0.06503452
479,0.5140392,0.7890747,1.8703738,0.07820943
480,0.6803523,0.90683275,2.2572505,0.05798543
481,0.66229624,0.8506613,2.059102,0.062487576
482,0.7050704,0.9133879,2.5616312,0.07717379
483,0.6360049,0.87364393,2.0671463,0.063265674
484,0.6073244,0.78539073,2.0042913,0.0727283
485,0.75830346,0.88300914,2.454913,0.07004935
486,0.64836484,0.9066666,2.4707024,0.06946882
487,0.54688644,0.948543,2.3389702,0.075127356
488,0.67378974,0.84452456,1.8742872,0.063101724
489,0.7034837,0.78276414,2.0616148,0.050929602
490,0.54365456,0.84593266,1.7602639,0.074553154
491,0.6283158,0.8755078,2.1500401,0.05597871
492,0.67769265,0.904886,2.160572,0.06649238
493,0.7101795,0.811974,2.0170398,0.060737524
494,0.63719344,0.8498516,2.0249631,0.06695679
495,0.6327814,0.8385207,1.8842454,0.06994892
496,0.5210977,0.9194538,2.1830356,0.060829118
497,0.7210799,0.86394864,2.208862,0.07166694
498,0.6656755,0.73588735,2.1600718,0.041790906
499,0.6532575,0.93611443,2.166572,0.07761988
500,0.67634124,0.8735548,2.2093809,0.06357684
501,0.721569,0.8282344,2.088331,0.0631848
502,0.717574,0.83319074,1.924707,0.079253666
