,posterior_g1,posterior_g2,posterior_g3,posterior_g4,posterior_phi,posterior_sigma,posterior_beta3,posterior_rho
199,1.8768662,-0.088315144,-0.15794468,0.29027483,0.31677002,0.68022805,5.714699,0.1923626
200,2.4744112,-0.119393505,-0.14306936,0.34361887,0.83339566,0.47998166,4.090907,0.29167917
201,2.2039926,-0.035065994,-0.12377352,0.25741586,0.8116113,0.37113354,4.0287695,0.30333775
202,2.1210458,-0.026055586,-0.20182398,0.30526203,0.79216826,0.39742592,4.148209,0.3191672
203,1.8751465,-0.073579535,-0.13799578,0.30776536,0.30755773,0.6104421,5.1334615,0.25350907
204,2.178305,-0.0006253164,-0.1885535,0.33893785,0.7949517,0.515725,4.0494676,0.30889425
205,2.1278815,-0.06752141,-0.123189,0.33835757,0.82977045,0.3479378,4.1959357,0.3075849
206,2.016812,-0.095604345,-0.20242499,0.3845663,0.6582799,0.481696,4.511429,0.29240268
207,2.069171,-0.052136406,-0.19688539,0.4225484,0.82722896,0.2769776,3.9861546,0.34804285
208,1.8841698,-0.03678942,-0.23789944,0.33068764,0.34559274,0.5677677,5.8244376,0.19586065
209,2.077569,-0.102588914,-0.28680268,0.44300327,0.69448423,0.49451008,4.800033,0.25463986
210,2.4268827,-0.18890221,-0.17536291,0.3215913,0.79100657,0.474513,4.3775296,0.28705773
211,1.8938704,-0.04367484,-0.14156336,0.28405905,0.51157176,0.4541756,5.2925963,0.22633414
212,2.4058378,-0.04690685,-0.24862146,0.24919474,0.80542874,0.47517493,3.5818846,0.3525747
213,2.271159,-0.026000364,-0.2543782,0.2539879,0.807573,0.40737012,4.0363092,0.29381388
214,1.9714261,-0.010825853,-0.13618974,0.31057194,0.76824486,0.31864735,4.939648,0.23260981
215,2.2181196,-0.09660881,-0.15014674,0.26555324,0.83676505,0.4151977,3.3632102,0.39352712
216,2.366537,-0.08004275,-0.106609955,0.24713737,0.8060423,0.5007409,3.6130614,0.3260362
217,2.12069,-0.09175595,-0.16710223,0.324558,0.8090389,0.39379564,3.8554506,0.3389121
218,2.0182207,-0.070664056,-0.15799412,0.27886027,0.83495784,0.33339304,4.1661596,0.33790126
219,2.1201904,-0.0938036,-0.15265985,0.3439613,0.8050896,0.425129,4.72632,0.28520578
220,2.331769,-0.024441084,-0.1877657,0.3479667,0.8245807,0.56609666,3.6002638,0.33004925
221,2.1186364,-0.040223747,-0.16023602,0.27379176,0.8378979,0.42269754,4.778819,0.22230649
222,2.3058565,-0.09000895,-0.101485424,0.24275285,0.839834,0.39472604,3.6962616,0.3779174
223,2.046892,-0.04900939,-0.117089055,0.27727312,0.7880725,0.39978173,4.4647098,0.26647484
224,2.2615585,-0.013380045,-0.1995713,0.3658109,0.80551744,0.4758632,3.8020744,0.34879914
225,2.2837667,-0.030323878,-0.19239902,0.33565888,0.84147286,0.4605725,4.0340877,0.3396836
226,2.5427623,-0.12701121,-0.20992745,0.31090084,0.8411086,0.3690145,3.7014236,0.35286415
227,2.4960938,-0.06436841,-0.1539448,0.24209592,0.8465476,0.41999036,3.906729,0.31378472
228,2.4189916,-0.06963624,-0.17973241,0.35790804,0.8561115,0.35388002,3.6762452,0.35572535
229,2.3236055,-0.123557925,-0.20505644,0.29153416,0.8424512,0.36906463,3.352863,0.38520655
230,1.8360908,-0.059644602,-0.03261311,0.2652821,0.13962755,0.67937475,5.964934,0.18509617
231,2.007864,-0.05909526,-0.20327517,0.39397025,0.80992323,0.37052009,4.968046,0.2339622
232,2.012486,-0.02928092,-0.18976466,0.41888636,0.78041786,0.39414752,4.772315,0.26368174
233,2.5361512,-0.14444745,-0.23021512,0.2587854,0.8444419,0.37939635,3.641061,0.3432894
234,2.3699517,-0.093396105,-0.20444429,0.2543788,0.7935567,0.45807084,3.6701937,0.32666567
235,2.0664158,-0.09860455,-0.16711801,0.4186383,0.8195156,0.37987,4.7194896,0.25362095
236,2.0551426,-0.14503077,-0.09474387,0.2660505,0.7016817,0.4022933,4.6862116,0.27351508
237,2.1844268,-0.082494915,-0.17691414,0.31022787,0.7903525,0.46807608,3.9332945,0.28644478
238,2.4194667,-0.07652238,-0.11525835,0.24186465,0.8227848,0.47013897,4.4375668,0.2783803
239,2.0774386,-0.12960592,-0.12921791,0.34006605,0.7985432,0.38718382,4.3653116,0.27544507
240,2.0799408,-0.060008068,-0.16905649,0.36339113,0.74960333,0.3740304,4.549813,0.26478478
241,2.1158903,-0.03288178,-0.13870151,0.20037325,0.71049,0.4806079,4.3952055,0.27969927
242,2.4142773,-0.052620985,-0.22058435,0.3584728,0.8373764,0.49029106,4.0293226,0.3311807
243,1.9323664,-0.10285353,-0.25794205,0.3032276,0.080498114,0.6063476,4.8834143,0.2394199
244,2.2958913,-0.10938522,-0.157837,0.21813798,0.81615055,0.41821766,3.22507,0.4017701
245,2.2655013,-0.0566309,-0.18467356,0.30940232,0.82160574,0.44420594,4.338701,0.28116813
246,2.1358209,-0.0096304715,-0.15193655,0.32203963,0.8432339,0.37763485,4.4553432,0.3043012
247,2.1532826,-0.08496873,-0.16047297,0.22302437,0.80367285,0.3848622,3.9076452,0.31565008
248,2.266602,-0.015655251,-0.18071228,0.26443034,0.8296867,0.42200035,3.9901772,0.29894757
249,2.3035977,-0.031316213,-0.2302221,0.21681523,0.8264452,0.32991287,3.8252854,0.33963084
250,2.1624255,-0.0077892933,-0.16655113,0.26800758,0.79467374,0.47045428,4.1091146,0.29132718
251,2.1679862,-0.13294771,-0.13874592,0.28535923,0.7768325,0.39898914,4.5300965,0.28531754
252,2.205476,-0.12789589,-0.1535366,0.3048187,0.757079,0.51982546,4.969299,0.22060749
253,2.1153328,-0.124348186,-0.1733636,0.3396279,0.788255,0.3938895,4.5512214,0.2780253
254,2.1027498,-0.056026883,-0.20911591,0.33354375,0.80516315,0.38185713,3.7908404,0.31931528
255,1.9594296,-0.07460878,-0.18109414,0.3418353,0.58560216,0.5007575,5.680415,0.22122252
256,2.2866073,-0.059773866,-0.20364524,0.36756423,0.8468426,0.4692437,3.7424328,0.33483493
257,2.1367533,-0.0892583,-0.20511024,0.19636028,0.67104495,0.39040035,4.514806,0.2822445
258,2.015842,-0.06296707,-0.15043607,0.2815037,0.6070394,0.47957358,4.727794,0.2577913
259,1.8990818,-0.106456526,-0.19863142,0.28350136,0.39078456,0.6047133,6.1820273,0.18310858
260,2.244502,-0.14358598,-0.19108087,0.24662344,0.8071836,0.3505007,4.1696997,0.28803545
261,2.3726375,-0.10896751,-0.18444833,0.30656853,0.8282414,0.38421395,4.0646753,0.33028424
262,2.445233,-0.15098445,-0.24308081,0.34631684,0.8484044,0.41650918,3.8990562,0.2918587
263,2.422916,-0.0774398,-0.2315497,0.30176505,0.8527346,0.33881557,3.8959014,0.33880562
264,1.9356271,-0.080842115,-0.07588104,0.22567938,0.58177805,0.43498272,5.085155,0.25728345
265,1.9800401,-0.066504195,-0.23659083,0.376363,0.6052776,0.46392587,5.043326,0.25868016
266,1.8007402,-0.03771127,-0.124319196,0.31824008,0.25127962,0.63481146,6.478466,0.1862424
