,posterior_phi,posterior_sigma,posterior_g1,posterior_g2,posterior_g3,posterior_g4,posterior_g5,posterior_g6,posterior_g7
106,-0.5068247,0.3996237,2.7769046,-0.71924394,-0.7093751,0.11749816,-0.6638812,0.61611265,0.16091444
107,0.08413941,0.48852295,-0.7601495,2.9554515,-0.87054205,0.2918865,2.933899,0.6640358,0.06387676
108,0.76867914,0.34839067,4.0885725,-1.8364882,-0.7864465,0.11363237,-1.5789632,0.64630014,0.16959946
109,0.6480985,0.43126982,2.633497,-0.45911786,-0.1341524,0.10297559,-0.5356784,0.009188709,0.17485389
110,0.3136379,0.42096007,1.3198047,0.8446248,-2.432509,0.31689948,0.8452356,2.2775228,-0.058306187
111,-0.2992597,0.42644346,2.8248563,-0.6201204,1.793284,-0.21856952,-0.76235086,-1.9213474,0.40264967
112,0.7263146,0.35682252,2.8876355,-0.62942594,1.273136,-0.5641664,-0.74307144,-1.2744995,0.7316064
113,0.6903288,0.39100918,0.51560247,1.6101894,0.14568232,-0.1784148,1.4660031,-0.31542805,0.4226926
114,-0.70360184,0.2758916,0.6385046,1.4733226,1.6988553,0.06459884,1.2160702,-1.8203858,0.27860305
115,-0.050053805,0.4845647,1.1009871,1.1455891,-1.1569012,0.30549142,1.179592,0.90737796,0.04747802
116,-0.34321985,0.41478983,0.053355172,2.028601,-1.9343778,0.1883636,2.0408766,1.792943,0.041493945
117,-0.25628704,0.4583286,0.9131535,1.2945997,3.9961393,-0.72405654,1.1907717,-4.05415,0.8656801
118,-0.366033,0.43732637,1.8358673,0.3552455,0.6447449,0.2873749,0.37369955,-0.7619795,0.05937473
119,0.3489657,0.45246354,1.8437533,0.35947537,0.31325418,0.17889816,0.3729152,-0.46343642,0.08826185
120,0.77761155,0.30957174,2.4200678,-0.26875654,-0.9449023,0.03956727,-0.2535275,0.8445453,0.16714
121,0.6886153,0.3896848,0.21985662,1.9856458,3.6297407,-0.04201292,2.0172205,-3.806954,0.33954152
122,-0.25290567,0.5141897,1.8263822,0.38368446,0.7503535,0.36016068,0.36904106,-0.93602806,-0.04357353
123,0.553603,0.39513296,1.2644968,0.94735575,-3.011288,-0.14489783,0.9572838,2.9544573,0.45018557
124,-0.15711354,0.38318112,1.1758751,0.9849468,-0.59428483,-0.07325257,0.90534824,0.4481571,0.26939932
125,0.088637695,0.45933744,1.1577044,0.9427775,1.9892668,-0.0053960774,0.8097181,-2.090943,0.36929408
